camis,dba,zipcode,cuisine_description
41175816,DUNKIN' DONUTS,11427.0,Donuts
50002296,CHEN MOMMY KITCHEN,11355.0,Chinese
50048035,NIPPONCHA RESTAURANT,11361.0,Japanese
41009192,HOT POT JAMAICAN & AMERICAN CUISINE,11411.0,Caribbean
50050922,LETICIAS RESTAURANT,11368.0,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
40366054,HEALY'S PUB,11694.0,American
50017053,NEW CHENG'S ORIENTAL EXPRESS,11355.0,Chinese
41535706,AFGHAN KEBOB HOUSE,11004.0,Afghan
50014390,CINCO DE MAYO,11361.0,Tex-Mex
41633095,BAMBOO YA,11374.0,Japanese
41122178,PORT ROYAL JAMAICAN RESTAURANT,11435.0,Caribbean
50069765,SOHNA PUNJAB,11419.0,Indian
50034411,MARTINIELLO'S III PIZZERIA & ITALIAN RESTAURNT,11416.0,Pizza/Italian
50034380,KRAVE IT,11361.0,Pizza
40378585,MIKE'S PUB,11421.0,American
41110219,MBJ FOOD SERVICE,11101.0,American
50054205,BAKER HOUSE MARKET,11101.0,Korean
41168585,NEW ORIENTAL GUYANA RESTAURANT,11419.0,Caribbean
41575103,PAPA JOHN'S,11104.0,Pizza
40715808,PIZZA HUT/KFC,11379.0,Chicken
50035115,CROSSBAY DELI & GRILL,11417.0,Delicatessen
41145521,PIZZA BELLA,11373.0,Pizza
40836314,MAHARAJA QUALITY SWEETS,11372.0,Indian
50070043,TACOS Y MAS,11691.0,Spanish
50073977,LUNGTA ASIAN BISTRO,11373.0,Asian
40907580,GALLERIES LOUNGE BRITISH AIRWAYS,11430.0,American
50002325,SONNY'S ROTI SHOP,11419.0,Caribbean
41180783,O'SAKE JAPANESE RESTAURANT,11694.0,Japanese
50050924,GOLDEN LEAF SKY,11355.0,Chinese
50045946,GREENWOOD QUALITY BAKERY,11419.0,Bakery
50072853,VILLAGGIO,11357.0,Italian
41616526,MEERA DELI,11101.0,Delicatessen
50015063,ESTRELLO LATINA RESTAURANT,11368.0,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
50069599,Best Salad,11432.0,Chinese
40393787,DUNKIN' DONUTS,11385.0,Donuts
41559183,LILLIAN PIZZERIA,11375.0,Pizza
40383281,GABY'S PIZZA,11423.0,Pizza
50054256,GOLDEN FOUNTAIN CHINESE RESTAURANT,11418.0,Chinese
41442614,MCDONALD'S,11415.0,Hamburgers
40545034,RICCARDO'S,11102.0,American
50044700,FRESH TACO,11377.0,Tex-Mex
50078823,MOTEA GARDEN,11354.0,Caf̩/Coffee/Tea
41382858,TACO VELOZ,11372.0,Mexican
41714016,LA ABUNDANCIA,11372.0,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
41636405,ASIAN FOOD LTD,11432.0,Filipino
41345931,PETE'S RESTAURANT & PIZZERIA,11361.0,Pizza/Italian
50073194,PHO METRO,11354.0,Vietnamese/Cambodian/Malaysia
41443837,NEIR'S TAVERN,11421.0,American
41392510,MARIO'S CHICKEN,11691.0,American
50038360,MINI PICANTERIA EL GUAYAQUILENO,11372.0,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
41316692,FAJITAS SUNRISE RESTAURANT,11385.0,Mexican
50033498,PRIMA PIZZA,11421.0,Pizza/Italian
41266955,DUGOUT PUB,11377.0,Irish
41337492,ROSA'S PIZZA & PASTA,11385.0,Pizza
41485145,OUTBACK STEAKHOUSE,11373.0,Steak
50072137,HERO THAI & IZAKAYA,11106.0,Thai
50065684,MEET CUISINE & BAR,11354.0,Chinese
50005287,BLEND,11109.0,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
41059649,CORFU GRILL,11375.0,Greek
41305836,ST JOHN'S UNIVERSITY LAW SCHOOL,11432.0,American
41548819,B & R SPICE WEST INDIAN FOOD,11412.0,Caribbean
50047957,EL MALECON RESTAURANT,11368.0,Spanish
50008442,KULU DESSERTS,11354.0,Caf̩/Coffee/Tea
50067408,Matsuri,11377.0,Japanese
41176692,EL SOL DE MEXICO DELI GROCERY,11435.0,Mexican
41017592,KIMGANAE RESTAURANT,11354.0,Korean
50055649,JAMAICA BREEZE RESTAURANT,11691.0,Caribbean
41495455,DUCK VILLAGE CHINESE RESTAURANT,11364.0,Korean
40401543,USA DINER,11422.0,American
50067676,FRESCA TORTILLA,11105.0,Tex-Mex
50057816,JC TASTES,11374.0,Chinese
41683080,MUNDO MAGICO,11368.0,Caf̩/Coffee/Tea
50033103,JONGRO BBQ,11354.0,Korean
41227024,CHEBURECHNAYA,11374.0,Eastern European
50071480,MACAO IMPERIAL TEA,11354.0,Caf̩/Coffee/Tea
50018449,SPRING FISH VILLAGE,11355.0,Chinese
50043256,WAH HING KITCHEN,11420.0,Chinese
40647906,TERRACE ON THE PARK,11368.0,American
50054212,POKEWAVE,11354.0,Japanese
50080904,DI-JUICE,11422.0,"Juice, Smoothies, Fruit Salads"
41529577,CHECKERS,11419.0,Hamburgers
40715785,PIZZA HUT,11374.0,Pizza
50070877,SOUTHERN GIRLS SOUL FOOD,11413.0,Soul Food
50011935,MANUEL E  RESTAURANT,11368.0,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
41646198,CHUBBY BURGERS & CHICKEN,11103.0,American
50041835,DAWA'S,11377.0,Caf̩/Coffee/Tea
41532380,JJ s ASIAN FUSION,11103.0,Japanese
41543866,DALLAS BBQ,11374.0,Barbecue
50053120,DELICIAS MEXICANOS,11368.0,Mexican
50059575,QIDU RESTAURANT,11354.0,Chinese
50036776,SUBWAY,11354.0,Sandwiches/Salads/Mixed Buffet
