camis;dba;zipcode;cuisine_description
50051451;TROPICAL SMOOTHIE CAFE;10314.0;American
41662314;JUSTINOS PIZZERIA;10306.0;Pizza
50045155;KYOTO SUSHI V;10301.0;Japanese
50034597;AVOCADO SUSHI;10309.0;Japanese
40366711;LI GRECI'S STAATEN RESTAURANT;10310.0;American
41294887;HAMPTON INN & SUITES;10314.0;Continental
50072333;CARVEL;10312.0;Ice Cream, Gelato, Yogurt, Ices
50056878;7 DAYS RESTAURANT;10301.0;Chinese
50057031;DOUGH BY LICASTRI;10304.0;Pizza
41053864;LACEY'S BRIDGE TAVERN;10302.0;American
40720280;THE HISTORIC OLD BERMUDA INN;10309.0;American
50018679;NEW LUCKY GARDEN;10301.0;Chinese
