nRest;inspection_date;action;violation_code;violation_description;critical_flag;score;grade;inspection_type
41194510;05/17/2016;Violations were cited in the following area(s).;04L;Evidence of mice or live mice present in facility's food and/or non-food areas.;critical;35.0;;Cycle Inspection / Initial Inspection
41273383;11/20/2018;Violations were cited in the following area(s).;04M;Live roaches present in facility's food and/or non-food areas.;Critical;11.0;A;Cycle Inspection / Re-inspection
50033846;09/13/2016;Violations were cited in the following area(s).;04L;Evidence of mice or live mice present in facility's food and/or non-food areas.;Critical;10.0;A;Cycle Inspection / Initial Inspection
41416480;06/14/2016;Violations were cited in the following area(s).;09B;Thawing procedures improper.;Not Critical;12.0;A;Cycle Inspection / Initial Inspection
41652878;07/31/2015;Violations were cited in the following area(s).;06C;Food not protected from potential source of contamination during storage, preparation, transportation, display or service.;CRITICAL;10.0;A;Cycle Inspection / Initial Inspection
50008857;10/01/2015;Violations were cited in the following area(s).;02B;Hot food item not held at or above 140Âº F.;Critical;20.0;B;Cycle Inspection / Re-inspection
40948592;10/11/2018;Violations were cited in the following area(s).;10B;"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.";Not Critical;48.0;;Cycle Inspection / Initial Inspection
41491524;10/27/2016;Violations were cited in the following area(s).;06C;Food not protected from potential source of contamination during storage, preparation, transportation, display or service.;Critical;19.0;;Cycle Inspection / Initial Inspection
41672217;03/17/2017;Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.;04M;Live roaches present in facility's food and/or non-food areas.;Critical;42.0;;Cycle Inspection / Re-inspection
50043495;07/29/2017;Violations were cited in the following area(s).;04N;Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.;Critical;12.0;A;Cycle Inspection / Initial Inspection
41555573;12/22/2015;Violations were cited in the following area(s).;05D;Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.;Critical;24.0;;Cycle Inspection / Initial Inspection
50036787;08/25/2016;Violations were cited in the following area(s).;02G;Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.;Critical;7.0;;Cycle Inspection / Compliance Inspection
41454667;05/12/2016;Violations were cited in the following area(s).;06E;Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.;CRITICAL;12.0;A;Cycle Inspection / Initial Inspection
50032834;05/07/2015;Violations were cited in the following area(s).;02G;Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.;Critical;7.0;A;Pre-permit (Operational) / Initial Inspection
40394650;07/19/2018;Violations were cited in the following area(s).;08A;Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.;NOT CRITICAL;19.0;B;Cycle Inspection / Re-inspection
40392766;12/09/2015;Violations were cited in the following area(s).;06E;Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.;Critical;5.0;;Cycle Inspection / Initial Inspection
50074512;03/19/2018;Violations were cited in the following area(s).;08A;Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.;Not Critical;34.0;;Pre-permit (Non-operational) / Initial Inspection
41226225;12/04/2018;Violations were cited in the following area(s).;08A;Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.;not critical;27.0;Z;Cycle Inspection / Re-inspection
50017844;02/02/2015;Violations were cited in the following area(s).;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;Not Critical;25.0;;Pre-permit (Operational) / Initial Inspection
41471991;07/27/2017;Violations were cited in the following area(s).;06D;Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.;Critical;16.0;;Cycle Inspection / Initial Inspection
50035397;03/04/2017;Violations were cited in the following area(s).;04J;Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.;CRITICAL;50.0;;Cycle Inspection / Initial Inspection
50078573;08/06/2018;Violations were cited in the following area(s).;04A;Food Protection Certificate not held by supervisor of food operations.;Critical;48.0;;Pre-permit (Operational) / Initial Inspection
41694265;12/05/2017;Violations were cited in the following area(s).;10E;Accurate thermometer not provided in refrigerated or hot holding equipment.;NOT CRITICAL;13.0;A;Cycle Inspection / Initial Inspection
